Index Name,Date,Open,High,Low,Close,MA20,MA50,MA200
NIFTY 200,01 Oct 2025,13746.25,13863.95,13736.85,13854.40,13949.65,13859.81,
NIFTY 200,30 Sep 2025,13781.4,13802.65,13709.1,13739.95,13947.03,13863.99,
NIFTY 200,29 Sep 2025,13772.55,13822.1,13712.4,13748.90,13946.14,13869.06,
NIFTY 200,26 Sep 2025,13869,13888.2,13716.7,13730.05,13944.84,13875.67,
NIFTY 200,25 Sep 2025,13988.45,14027,13894.2,13902.35,13937.1,13883.61,
NIFTY 200,24 Sep 2025,14062.9,14079.6,13987.45,13996.20,13923.09,13887.89,
NIFTY 200,23 Sep 2025,14131.65,14149.45,14042.5,14087.20,13911.17,13888.7,
NIFTY 200,22 Sep 2025,14138.45,14196.3,14088.2,14117.40,13902.85,13887.69,
NIFTY 200,19 Sep 2025,14204.6,14211.95,14153.35,14174.85,13890.75,13888.4,
NIFTY 200,18 Sep 2025,14204.5,14208.7,14146.75,14199.30,13880.67,13889.12,
NIFTY 200,17 Sep 2025,14135.1,14162.05,14119.5,14148.80,13869.47,13889.8,
NIFTY 200,16 Sep 2025,14028.65,14118.65,14019.3,14107.55,13858.53,13891.11,
NIFTY 200,15 Sep 2025,14024.35,14040.5,14001.9,14017.90,13845.79,13893.3,
NIFTY 200,12 Sep 2025,13998.45,14024.5,13977.75,14012.55,13830.28,13896.71,
NIFTY 200,11 Sep 2025,13931.4,13971.7,13927.35,13957.00,13815.34,13900.81,
NIFTY 200,10 Sep 2025,13931.6,13966.8,13905.25,13936.30,13799.32,13906.88,
NIFTY 200,09 Sep 2025,13866.65,13875.45,13831,13865.75,13786.62,,
NIFTY 200,08 Sep 2025,13827.8,13883.6,13799.8,13822.10,13771.09,,
NIFTY 200,05 Sep 2025,13829.35,13842.85,13719.4,13790.05,13765.33,,
NIFTY 200,04 Sep 2025,13955.85,13955.85,13769.5,13784.50,13760.13,,
NIFTY 200,03 Sep 2025,13743.9,13811.05,13709.15,13802.00,13758.44,,
NIFTY 200,02 Sep 2025,13744.95,13806.75,13693.6,13721.95,13757.97,,
NIFTY 200,01 Sep 2025,13589.55,13728,13589.5,13723.05,13755.8,,
NIFTY 200,29 Aug 2025,13608.3,13671.4,13562.5,13575.10,13760.35,,
NIFTY 200,28 Aug 2025,13757.3,13757.3,13614.15,13622.25,13775.56,,
NIFTY 200,26 Aug 2025,13884.4,13894.25,13745.75,13757.80,13787.77,,
NIFTY 200,25 Aug 2025,13923.25,13953.55,13892.8,13920.85,13788.67,,
NIFTY 200,22 Aug 2025,13970.05,13976.5,13869.05,13875.40,13785.96,,
NIFTY 200,21 Aug 2025,14022.8,14024.3,13966.85,13973.30,13793.34,,
NIFTY 200,20 Aug 2025,13926.65,13994.3,13905.7,13975.20,13799.79,,
NIFTY 200,19 Aug 2025,13867.05,13937.35,13839,13930.00,13802.52,,
NIFTY 200,18 Aug 2025,13875.95,13926.25,13846.15,13852.80,13809.19,,
NIFTY 200,14 Aug 2025,13720.05,13743.9,13687.4,13707.70,13816.22,,
NIFTY 200,13 Aug 2025,13689.5,13737.05,13669.15,13713.60,13834.81,,
NIFTY 200,12 Aug 2025,13677.95,13743.55,13626.05,13636.70,13855.48,,
